,Ticker,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,maxAge,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,eps,Market Cap,PE,NI,EBIT
0,A,,4.306,,0.22254999,17.757,0.051262617,,3.4,,315992992.0,-,,,16.153,4636334.0,0.0146,,1540944000.0,0.8823799999999999,1116999936.0,3.443,,0.032832503,4.351514,0.0036000002,1604102400.0,,1556582400.0,1.64,2019-04-15,315143330.0,1.327925,21610858496.0,2.0,,2014-11-03,1000/1398,,,-0.11199999999999999,,1557878400.0,2.3,,20.673529000000002,1.0,,0.0146,3687978.0,,,3.4430000781275454,22211147776.0,20.415335,316000000.0,974000000.0
1,AAL,,0.958,,0.03215,7.364,-0.2998188,,5.76,,444835008.0,-,,,-1.432,20867364.0,0.0469,,1546214400.0,0.07825,1438000000.0,3.1180000000000003,,0.032832503,,0.39758000000000004,1609372800.0,,1553990400.0,4.06,2019-04-15,395889907.0,1.9694880000000001,42849300480.0,2.0,,2013-12-09,1/0,,,0.16399999999999998,,1557878400.0,0.41,,5.340277700000001,1.0,,0.0561,23003563.0,,,3.1180000847414853,13683125248.0,9.865298,1412000000.0,3757000000.0
2,AAP,,1.4280000000000002,,0.04448,14.394,0.17042124,,9.49,,71326896.0,-,,,49.732,2867611.0,0.04,,1546041600.0,1.01534,429620000.0,5.856,,0.032832503,3.0869462000000003,0.00324,1609200000.0,,1555718400.0,3.07,2019-04-15,71009465.0,1.2344030000000001,13794003968.0,2.0,,2005-09-26,2/3,,,0.042,,1557878400.0,1.09,,16.177029,1.0,,0.0471,2882176.0,,,5.855999998779365,10950105088.0,26.215847,423847000.0,712142000.0
3,AAPL,,3.511,,0.22117001,11.732000000000001,-0.0056476593,,12.78,,4601079808.0,-,,,22.976999999999997,49550348.0,0.0108,,1538179200.0,0.60946,57170001920.0,11.887,,0.032832503,8.381425,0.00074,1601337600.0,,1553904000.0,1.62,2019-04-15,4348475982.0,1.034907,907432427520.0,2.0,,2014-06-09,1/7,,,-0.16399999999999998,,1557878400.0,1.37,,15.068857999999999,1.0,,0.0105,61003851.0,,,11.887000535958178,886075949056.0,16.200891,59531000000.0,70898000000.0
4,ABBV,,4.507,,0.16418,10.552,-0.22391498,,9.42,,1478329984.0,-,,,-5.294,21309313.0,0.014400001,,1546214400.0,0.71891,5329999872.0,3.511,,0.032832503,,0.00085,1609372800.0,,1553990400.0,3.66,2019-04-15,1477134728.0,0.939385,147154255872.0,2.0,,-,,,,-0.11699999999999999,,1557878400.0,1.16,,8.16879,1.0,,0.0163,27575807.0,,,3.5110001299457885,113757487104.0,21.916832,5687000000.0,11911000000.0
5,ABC,,0.111,,0.005310000400000001,8.535,-0.043537974,,7.37,,210176992.0,-,,,13.899000000000001,7081809.0,0.0337,,1538265600.0,0.67994004,929884032.0,4.2989999999999995,,0.032832503,6.098999500000001,0.27128,1601424000.0,,1553990400.0,4.79,2019-04-15,152817559.0,1.223459,19429810176.0,2.0,,2009-06-16,1/2,,,-0.9059999999999999,,1557878400.0,1.58,,11.502035000000001,1.0,,0.045700002,7027314.0,,,4.298999824530619,17816702976.0,19.71854,1658405000.0,1650952000.0
6,ABMD,,15.071,,0.33663000000000004,48.718,-0.3594845,,5.85,,45124700.0,-,,,20.763,2334856.0,0.0596,,1553990400.0,0.89764,259016000.0,5.61,,0.032832503,13.120935000000001,0.04124,1617148800.0,,1553990400.0,2.64,2019-04-15,44254273.0,1.164452,11595863040.0,2.0,,2000-10-02,1/2,,,1.0070000000000001,,1557878400.0,1.95,,46.56923,1.0,,,1982316.0,,,5.610000037684176,12293321728.0,48.561497,,
7,ABT,,5.187,,0.08534,21.87,0.2789482,,3.6,,1764179968.0,-,,,17.529,13613261.0,0.0077,,1546214400.0,0.7649199999999999,2582000128.0,1.474,,0.032832503,4.636317,0.00722,1609372800.0,,1553990400.0,2.38,2019-04-15,1750649992.0,0.8475459999999999,159345000448.0,2.0,,2013-01-02,4798/10000,,,0.608,,1557878400.0,2.04,,22.574999,1.0,,0.007900001,13074097.0,,,1.4740000056224931,143374893056.0,55.135685,2368000000.0,3922000000.0
8,ACN,,2.758,,0.10949001,16.869,0.12393236,,7.96,,637833024.0,-,,,20.906999999999996,6507155.0,0.010199999,,1535673600.0,0.7246,4471712768.0,6.872000000000001,,0.032832503,8.821926,0.0022600000000000003,1598832000.0,,1551312000.0,3.81,2019-04-15,636588804.0,1.087041,112619962368.0,2.0,,2011-12-30,1/10,,,0.302,,1557878400.0,2.67,,23.170855,1.0,,0.010199999,4967598.0,,,6.872000020268747,117641920512.0,26.839348,4059907000.0,5841041000.0
9,ADBE,,14.305,,0.28076999999999996,42.077,0.108207226,,9.69,,487951008.0,-,,,20.208,4930215.0,0.0101,,1543536000.0,0.88935,2681938944.0,5.39,,0.032832503,13.872724,0.0027599998,1606694400.0,,1551398400.0,2.12,2019-04-15,486433416.0,1.0833780000000002,136638046208.0,2.0,,2005-05-24,1/2,,,0.156,,1557878400.0,1.53,,28.930857,1.0,,0.0101,4661147.0,,,5.390000178807881,136792186880.0,52.01113,2590774000.0,2840369000.0
